idfamilletissus;dateentree;datefacturation;idcategorietissus;idclassematierepremiere;idutilisationwms;numerobc;numerobl;numerofacture;idfournisseur;idclient;modele;saison;designation;reftissu;composition;couleur;laize;qtecommande;idunitemesurematierepremiere;qterecu;tauxecart;nbrouleau;nblot;prixunitaire;idunitemonetaire;resterecevoir;fret;commentaire;etat
1;26/09/2024;25/09/2024;2;2;1;2949/LOI/2024;246266;F215245Z;1;100;CASSIS-BALLON;E25;NEWYORKWA;II-B D01761 V1;100% COTTON BCI;VERT/BA;152/155;6;1;6;100;1;1;5;2;0;NULL;ROULEAU;0
1;26/09/2024;25/09/2024;1;2;2;2949/LOI/2024;246267;F215244Z;1;100;BARNABE;E25;GISTOKER;TT-10-GDS39 R1;100% COTTON ORG GOTS;BLUE/BA;160/163;6;1;6.2;103.3;1;1;5;2;0;NULL;ROULEAU CHOIX B;0
1;26/09/2024;25/09/2024;1;2;2;2949/LOI/2024;246267;F215244Z;1;NULL;CORALIE-COROLLE;E25;APRECIA;II-G 13684 V2;100% COTTON ORG GOTS;ROSE/BA;156/159;12;1;12;100;1;1;5;2;0;NULL;ROULEAU CHOIX B Mentionné 0$ sur la facture et 5$  sur BC;0
1;26/09/2024;25/09/2024;1;2;2;2949/LOI/2024;246267;F215244Z;1;100;CARLA-FANTAISIE;E25;APRECIA;II-G 13815 V1;100% COTTON ORG GOTS;MULTICO/BA;156/159;12;1;14;116.6;1;1;5;2;0;NULL;ROULEAU CHOIX AR;0
1;26/09/2024;25/09/2024;1;2;1;1849/LOI/2024;246155;F215196Z;1;100;GABRIELLE -BELLE-ECOLE-ECLIPSE;E25;APRECIA IMPRIME BLEU;II-G 13584 V2;100% CO ORG GOTS;BLEU INDIG/BA;156/159;5537;1;5586.2;100.4;52;4;5.15;2;0;NULL;4EME ARRIVAGE EMP D21/D22;0
1;23/09/2024;23/09/2024;2;3;1;Non-referencé;Non-referencé;Non-referencé;94;32;BOMINA;E25;FLEURS ROSE;Non-referencé;Non-referencé;ROSE IMPRIME FLEUR BLANC;Non- referencé;65.7;1;65.7;100;1;1;0;1;0;NULL;retailer BDS ;0
1;08/11/2023;07/11/2023;2;3;2;Non-referencé;6112;Non-referencé;51;7;SL3742;E24;MICROPANA;7799;85% PES 13%NY 2%EA;549 AZUL ZAFIRO;145;12;1;6.34;100;1;1;0;1;0;NULL;retour ;0
1;27/09/2024;25/09/2024;2;2;1;1801/LOI/2024;245982;F215220Z;1;2;OWESTERN-BC ROSE;E25;VACELONA;II-F12997 L5;100% TENCEL;PLUMERIA/BNA;157/160;5067.5;1;2065.8;41.08;36;3;3.5;2;3001.7;NULL;2EME  ARRIVAGE;0
1;27/09/2024;25/09/2024;2;2;1;1651/LOI/2024;246239;F215205Z;1;2;ENSUBLE-BC;E25;VERONICA ;IU-E 13678 X3 30749P;100% VISCOSE;MARINE EGRET;141/144;1574.1;1;1372.8;87.8;26;3;3.29;2;201.3;NULL;2EME  ARRIVAGE CHOIX AB;0
1;27/09/2024;25/09/2024;2;2;1;1748/LOI/2024;246242/246243;F215208Z/F215209Z;1;2;JUGLET-JUMP;E25;WOSAMORE;TI-X AJ65 V1X 13551 V1;50% VISCOSE 49% CO 1%PES METAL;BLANC ROUGE/NA;161/164;5577.1;1;1475.3;27.79;17;2;3.65;2;4101.8;NULL;2EME  ARRIVAGE  Sur le facture F215209Z 311.10m CHOIX AR , Sur le facture F215208Z 1164.20m CHOIX A;0
1;27/09/2024;26/09/2024;2;2;1;2211-2304/LOI/2024;246346;F215305Z;1;2;EN ATTENTE;E25;BILMORE;TT-D061 R1;55% COTTON BCI 25% CO 20%LIN;BLUE/BEIGE/BNA;162/178;1440.6;1;20;1.38;1;1;5.5;2;1420.6;NULL;1ERE ARRIVAGE MODELE DACTYLOGRA= 945.6m-DOGMATISE=495m;0
1;11/07/2024;10/07/2024;2;2;1;982/LOI/2024;242666;F211969Z;1;30;PLM -97719;H24;FALTIMORE;TT-B DM08 R2;55% COTTON BCI 45% LIN;SAND/PRALI/BNA;158/161;732;1;2.82;103.06;6;1;0;2;0;NULL;retour SURPLUS INVENTAIRE;0
1;24/07/2024;09/07/2024;2;2;1;1093/LOI/2024;Non-referencé;B2405023;56;30;PLM-97843;H24;COTTONVOILE EMB PD;DZB2405024;100% COTTON;WHITE;124/127;1267;1;-20.4;98.39;13;1;0;2;20.3;NULL;retour manque ;0
1;24/07/2024;09/07/2024;2;2;1;1092/LOI/2024;Non-referencé;B2405023;56;30;PLM-97835;H24;COTTONVOILE EMB PD;DZB2405023;100% COTTON;WHITE;124/127;705;1;-14.23;98.14;7;1;0;2;13.1;NULL;retour manque ;0
1;24/07/2024;09/07/2024;2;2;1;1343/LOI/2024;Non-referencé;B2405023;56;30;PLM-103133;H24;COTTON VOILE PD AND TRIPLE BORDER EMB;DZB2406010 MANCHE;100% COTTON;XPINK;40;2987;1;14.6;99.62;23;1;0;2;11.1;NULL;retour surplus;0
1;24/07/2024;09/07/2024;2;2;1;1093/LOI/2024;Non-referencé;B2405023;56;30;PLM-97843;H24;COTTON VOILE EMB PD;DZB2405024;100% COTTON;BLACK;124/127;1582;1;1.5;95.05;14;1;0;2;78.3;NULL;retour surplus ;0
1;12/09/2024;11/09/2024;2;2;2;A05072;245544;F214560Z;1;2;CARAMBA-BD/CARAMBAMC-BD/CASA-BD/CUANDO;E25;LORKERAX;IU-B 13811 V1;100% CO BCI;BLEU/28253P ECRU;165;10.5;1;-0.75;100;1;1;0;2;0;NULL;retour MANQUE TISSU;0
1;30/09/2024;10/09/2024;2;3;1;Non-referencé;8.238;95.703;54;7;ATT INFO ;E25;LINOFIL EST ;PRINTED CARETA;55%C 45%LIN;35 GRAND CARREAU ORANGE;145;40;1;40;100;2;1;7.15;2;0;NULL;modele SL 3824-SL 3825-SL3827-SL 3828;0
1;30/09/2024;10/09/2024;2;3;1;Non-referencé;8.238;95.703;54;7;ATT INFO ;E25;LINOFIL EST ;PRINTED LUCA;55%C 45%LIN;2 FLEUR BLEU;145;366.2;1;366.2;100;9;1;7.15;2;0;NULL;modele SL 3824-SL 3825-SL3827-SL 3828;0
1;30/09/2024;10/09/2024;2;3;1;Non-referencé;8.238;95.703;54;7;ATT INFO ;E25;LINOFIL EST ;PRINTED LUCA;55%C 45%LIN;3 FLEUR ORANGE;145;166;1;166;100;4;1;7.15;2;0;NULL;modele SL 3825-SL3826-SL 3827-SL 3827 DR;0
1;30/09/2024;10/09/2024;2;3;1;Non-referencé;8.238;95.703;54;7;ATT INFO ;E25;CAMPARI EST;1489 PRINTED;100% COTTON;31 IMP RAYURE VERT;148;45.2;1;45.2;100;1;1;4.7;2;0;NULL;modele SL 3821-SL 3823;0
1;30/09/2024;10/09/2024;2;3;1;Non-referencé;8.238;95.703;54;7;ATT INFO ;E25;CAMPARI EST;5388 PRINTED;100% COTTON;44 IMP PETIT CARREAU BLEU;148;121.2;1;121.2;100;4;1;4.7;2;0;NULL;modele SL 3802-SL 3863-SL 3863 NS;0
1;30/09/2024;30/09/2024;2;3;2;Non-referencé;Non-referencé;Non-referencé;94;32;PANICE 132-DIADEME;H25;ALBERT GUEGAIN ;TULLE Brodé 21916A 60375;Non-referencé;FLEUR Doré;133;7.1;1;7.1;100;1;1;0;1;0;NULL; MODELE JUNYA-POIS;0
1;06/09/2024;19/07/2024;2;2;1;1504/LOI/2024;DZB2406050;B2406050;56;30;PLM 97884;H24;COMBED COTTON VOILE PD AND ANGLAISE EMB;DZB2406050;100% COTTON;RED;125;5400;1;-54.9;97.6;20;1;0;2;125;NULL;retour MANQUE APRES INSPECTION;0
1;17/09/2024;16/09/2024;2;2;2;A04085;245790;F214772Z;1;2;BLACK BIRDY;E25;WOSAMORE;TI-X DM26 C1X 13658 V1;50% VISCOSE 49% CO 1%PES METAL;DARK GOLD BLACK;161/164;10;1;-0.1;100;0;1;0;2;0;NULL;retour MANQUE TISSU;0
1;02/10/2024;02/10/2024;2;2;2;Non-referencé;8523;Non-referencé;51;93;VERIF;E25;BALTIMORA;D01354 VA;100% COTTON;BLUE/PINK/31263P ;145;5;1;5;100;1;1;0;1;0;NULL;COUPON;0
1;02/10/2024;02/10/2024;2;3;2;Non-referencé;Non-referencé;FW 2526;47;106;CB 30000 ROBE 1;E25;IMPRIME TROUSSEAU;59070-T;Non-referencé;FOND BLANC IMPRIME ;145;7;1;7;100;1;1;0;1;0;NULL;COUPON;0
1;03/10/2024;01/10/2024;2;2;1;1599/LOI/2024;246512;F215496Z;1;93;8661/8642;E25;HALTASIAX;II-B D01676 V2 MULTICO/BNA;100% COTTON BCI;MULTICO/BNA;160/163;2085;1;2099.6;100.7;27;2;3.65;2;0;NULL;NEANT;0
1;03/10/2024;30/09/2024;1;2;2;A05546;246471;F215457Z;1;100;PETUNIA-PHILIPPINE-PERCEVAL;E25;APRECIA;II-G 13876 V1;100% COTTON ORG GOTS;MULTICO/BA;156/159;5;1;5;100;1;1;5;2;0;NULL;COUPON ;0
